sno,,station,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101021,YouBike2.0_,銘傳國小側門,7,0,大安區,2023/5/8 08:41,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 08:41,2023/5/8
500101022,YouBike2.0_,捷運公館站(2號出口),99,1,大安區,2023/5/8 10:09,25.01491,121.53438,捷運公館站(2號出口)外側,Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),97,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101023,YouBike2.0_,第二學生活動中心,27,0,大安區,2023/5/8 09:57,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),26,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:57,2023/5/8
500101024,YouBike2.0_,臺灣科技大學正門,30,22,大安區,2023/5/8 09:59,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:59,2023/5/8
500101025,YouBike2.0_,臺灣科技大學側門,99,19,大安區,2023/5/8 10:05,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,80,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101026,YouBike2.0_,公館公園,15,6,大安區,2023/5/8 07:35,25.01137,121.54062,羅斯福路四段113巷基隆路四段41巷口,Daan Dist.,YouBike2.0_Gongguan Park,Ln. 113， Sec. 4， Roosevelt Rd. & Ln. 41， Sec. 4， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 07:35,2023/5/8
500101027,YouBike2.0_,臺灣科技大學後門,39,1,大安區,2023/5/8 10:09,25.01182,121.54165,基隆路四段41巷68弄臺科帆船大樓旁,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68， Ln. 41， Sec. 4， Keelung Rd.,38,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101028,YouBike2.0_,臺大醫學院附設癌醫中心,20,14,大安區,2023/5/8 10:09,25.01426,121.54382,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),6,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101029,YouBike2.0_,臺大環研大樓,15,6,大安區,2023/5/8 10:01,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101030,YouBike2.0_,臺大永齡生醫工程館,34,11,大安區,2023/5/8 10:06,25.0136,121.54656,芳蘭路51號西北側,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51， Fanglan Rd.(Northwest),23,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101031,YouBike2.0_,臺大男七舍前,20,8,大安區,2023/5/8 10:08,25.01537,121.54698,長興街/長興街80巷口西側,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80， Changxing St. Intersection(West),12,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101032,YouBike2.0_,臺大男一舍前,61,32,大安區,2023/5/8 10:09,25.01637,121.54535,長興街50號西北側,Daan Dist.,YouBike2.0_NTU 1st Men's Dorm,No. 50， Changxing St.(Northwest),29,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101033,YouBike2.0_,臺大男六舍前,46,28,大安區,2023/5/8 10:01,25.01664,121.5452,大安區長興街31號,Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31， Changxing St.,18,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101034,YouBike2.0_,臺大動物醫院前,18,9,大安區,2023/5/8 10:09,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101035,YouBike2.0_,臺大土木研究大樓前,24,9,大安區,2023/5/8 10:06,25.01787,121.5476,辛亥路三段188號,Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188， Sec. 3， Xinhai Rd.,14,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101036,YouBike2.0_,臺大萬才館前,20,3,大安區,2023/5/8 09:43,25.02032,121.54497,臺大萬才館北側,Daan Dist.,YouBike2.0_NTU Wan Tsai Research Hall,NTU Wan Tsai Research Hall,17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:43,2023/5/8
500101037,YouBike2.0_,臺大國青大樓宿舍前,20,3,大安區,2023/5/8 10:08,25.02076,121.54432,辛亥路三段30號西北側,Daan Dist.,YouBike2.0_NTU Guo - Ching Building,No. 30， Sec. 3， Xinhai Rd.(Northwest),17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101038,YouBike2.0_,臺大社科院圖書館前,27,4,大安區,2023/5/8 10:09,25.02101,121.54284,辛亥路與復興南路口西南側,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),23,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101039,YouBike2.0_,臺大法人語言訓練中心前,28,11,大安區,2023/5/8 09:56,25.02104,121.54081,臺大法人語言訓練中心北側,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:56,2023/5/8
500101040,YouBike2.0_,臺大綜合體育館停車場前,25,2,大安區,2023/5/8 09:42,25.0222,121.53626,臺大綜合體育館北側,Daan Dist.,YouBike2.0_NTU Sports Center Car Park,NTU Sports Center(North),23,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:42,2023/5/8
500101041,YouBike2.0_,辛亥新生路口東南側,41,12,大安區,2023/5/8 10:01,25.02218,121.53474,辛亥新生路口東南側,Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),29,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101042,YouBike2.0_,基隆長興路口東側,15,7,大安區,2023/5/8 10:02,25.01727,121.54471,基隆長興路口東側,Daan Dist.,YouBike2.0_Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:02,2023/5/8
500101091,YouBike2.0_,國北教大側門南側,25,6,大安區,2023/5/8 09:41,25.022864,121.546622,敦南街51號,Daan Dist.,YouBike2.0_NTUE Side Gate(South),No. 51， Dunnan St.,19,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:41,2023/5/8
500101092,YouBike2.0_,和平實小東北側,13,6,大安區,2023/5/8 09:26,25.021641,121.54704,敦南街73號,Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73， Dunnan St.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:26,2023/5/8
500101093,YouBike2.0_,大安區健康服務中心,15,4,大安區,2023/5/8 08:58,25.021469,121.544069,辛亥路三段15號,Daan Dist.,YouBike2.0_Daan District Public Health Center,No. 15， Sec. 1， Xinhai Rd.,11,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 08:58,2023/5/8
500101094,YouBike2.0_,辛亥泰順街口,20,2,大安區,2023/5/8 10:03,25.02193,121.53165,辛亥泰順街口東南側,Daan Dist.,YouBike2.0_Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),18,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:03,2023/5/8
500101095,YouBike2.0_,芳和國中,28,4,大安區,2023/5/8 10:09,25.0189,121.55013,臥龍街170號(前),Daan Dist.,YouBike2.0_Fanghe Junior High School,No. 170， Wolong St.,24,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101097,YouBike2.0_,臥龍樂業街口,36,20,大安區,2023/5/8 09:51,25.01856,121.55558,臥龍街234-2號,Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2， Wolong St.,16,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:51,2023/5/8
500101098,YouBike2.0_,臥龍公園,14,7,大安區,2023/5/8 08:03,25.01623,121.55037,辛亥路三段223號西側,Daan Dist.,YouBike2.0_Wolong Park,No. 223， Sec. 3， Xinhai Rd. (West),7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 08:03,2023/5/8
500101099,YouBike2.0_,嘉興公園,44,26,大安區,2023/5/8 10:08,25.021,121.55211,樂業街101巷3號西北側,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3， Ln. 101， Leye St. (Northwest),18,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101100,YouBike2.0_,捷運麟光站(2號出口),35,18,大安區,2023/5/8 10:03,25.0181,121.55929,和平東路三段420號東北側,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420， Sec. 3， Heping E. Rd. (Northeast),17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:03,2023/5/8
500101101,YouBike2.0_,捷運六張犁站,64,2,大安區,2023/5/8 10:08,25.02397,121.55266,和平東路三段410號,Daan Dist.,YouBike2.0_MRT Liuzhangli Sta.,No. 410， Sec. 3， Heping E. Rd.,62,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101102,YouBike2.0_,喬治工商,26,9,大安區,2023/5/8 10:06,25.02705,121.55551,基隆路二段166號,Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166， Sec. 2， Keelung Rd.,17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101103,YouBike2.0_,法治公園,15,5,大安區,2023/5/8 09:09,25.02694,121.55325,通化街189號西側,Daan Dist.,YouBike2.0_Fazhi Park,No. 189， Tonghua St. (West),10,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:09,2023/5/8
500101104,YouBike2.0_,捷運臺電大樓站(2號出口),15,0,大安區,2023/5/8 09:19,25.02021,121.52942,辛亥路一段/羅斯福路三段口北側(辛亥路側),Daan Dist.,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Sec. 1， Xinhai Rd & Sec. 3， Roosevelt Rd (North),15,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:19,2023/5/8
500101105,YouBike2.0_,和平金山路口,45,12,大安區,2023/5/8 10:05,25.02669,121.52529,和平東路一段/金山南路二段西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest),33,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101107,YouBike2.0_,和平龍泉街口,34,15,大安區,2023/5/8 10:04,25.02638,121.52971,和平東路一段/龍泉街口西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Longquan St. Intersection,Sec. 1， Heping E. Rd & Longquan St. Intersection (Southwest),19,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:04,2023/5/8
500101108,YouBike2.0_,和平泰順街口,9,2,大安區,2023/5/8 10:01,25.02621,121.53171,和平東路一段/泰順街口東南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Taishun St  Intersection,Sec. 1， Heping E. Rd & Taishun St  Intersection (Southeast),7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101109,YouBike2.0_,臺灣師範大學(圖書館),40,25,大安區,2023/5/8 10:09,25.0266,121.52973,和平東路一段129號前,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129， Sec. 1， Heping E. Rd.,15,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101110,YouBike2.0_,捷運古亭站(6號出口),60,44,大安區,2023/5/8 10:09,25.0276,121.52217,羅斯福路二段41號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41， Sec. 2， Roosevelt Rd,16,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101111,YouBike2.0_,捷運古亭站(5號出口),14,0,大安區,2023/5/8 09:43,25.02715,121.52293,和平東路一段19號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 5),No. 19， Sec. 1， Heping E. Rd,14,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:43,2023/5/8
500101113,YouBike2.0_,臺北市立圖書館(總館),45,19,大安區,2023/5/8 09:46,25.02895,121.5379,建國南路二段/建國南路二段151巷(橋下空間),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge),26,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:46,2023/5/8
500101114,YouBike2.0_,新生和平路口東北側,38,11,大安區,2023/5/8 10:03,25.02657,121.53515,新生南路二段與和平東路二段口東北側,Daan Dist.,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast),27,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:03,2023/5/8
500101115,YouBike2.0_,建國和平路口西北側,44,31,大安區,2023/5/8 10:09,25.02606,121.53738,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),13,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
